"","Store #","Address 1","City","fixedState","zip","fullAddress","StateInOrigFile"
"72",475,"3435 LANKFORD HWY","EXMORE","VA",23350,"3435 Lankford Hwy, Exmore, VA 23350","VA"
"73",477,"624 BUCKEYE ST","NORTH VERNON","IN",47265,"624 Buckeye St, North Vernon, IN 47265","IN"
"74",487,"1130 US HIGHWAY 68","MAYSVILLE","KY",41056,"1130 Us Highway 68, Maysville, KY 41056","KY"
"75",489,"105 DECATUR ST","BERLIN","MD",21811,"105 Decatur St, Berlin, MD 21811","MD"
"76",492,"214 W MAIN ST # 216","HANCOCK","MD",21750,"214 W Main St # 216, Hancock, MD 21750","MD"
"77",496,"1554 US 31W BYP","BOWLING GREEN","KY",42104,"1554 US-31W, Bowling Green, KY 42104","MO"
"78",498,"2529 FORT CAMPBELL BLVD","HOPKINSVILLE","KY",42240,"2529 Fort Campbell Blvd, Hopkinsville, KY 42240","KY"
"79",504,"209 SIZERVILLE RD","EMPORIUM","PA",15834,"209 Sizerville Rd, Emporium, PA 15834","PA"
"80",511,"3920 RINGGOLD RD STE A","CHATTANOOGA","TN",37412,"3920 Ringgold Rd, Chattanooga, TN 37412","TN"
"81",522,"2417 JOHN WILLIAMS BLVD","BEDFORD","IN",47421,"2417 John A Williams Blvd, Bedford, IN 47421","PA"
"82",527,"17715 HIGHWAY 64","SOMERVILLE","TN",38068,"17715 US-64, Somerville, TN 38068","TN"
"83",532,"212 HESTER PARKER DR","MARKED TREE","AR",72365,"212 Hester Parker Dr, Marked Tree, AR 72365","AR"
"84",538,"11909 DIXIE HWY","VALLEY STATION","KY",40272,"11909 Dixie Hwy, Louisville, KY 40272","KY"
"85",540,"10810 E 11TH ST S","TULSA","OK",74128,"10810 E 11th St, Tulsa, OK 74128","OK"
"86",546,"2107 PIKE ST STE 5","PARKERSBURG","WV",26101,"2107 Pike St, Parkersburg, WV 26101","WV"
"87",548,"4672 E LAKE RD","SHEFFIELD LAKE","OH",44054,"4672 Lake Rd, Sheffield Lake, OH 44054","OH"
"88",551,"2 SPRINGS AVE","GETTYSBURG","PA",17325,"2 Springs Ave, Gettysburg, PA 17325","PA"
"89",554,"2229 S SHADY ST","MOUNTAIN CITY","TN",37683,"2229 S Shady St, Mountain City, TN 37683","TN"
"90",562,"1200 THOMAS RD","WEST MONROE","LA",71292,"1200 Thomas Rd, West Monroe, LA 71292","LA"
"91",573,"1846 S MAIN ST","CROSSVILLE","TN",38555,"1846 S Main St, Crossville, TN 38555","TN"
"92",574,"5715 19TH ST","LUBBOCK","TX",79407,"5715 19th St, Lubbock, TX 79407","TX"
"93",579,"605 ORCHARD DR","HILLSBORO","KS",67063,"605 Orchard Dr, Hillsboro, KS 67063","TX"
"94",581,"804 N LL&G AVE","ANTHONY","KS",67003,"804 N Ll and G Ave, Anthony, KS 67003","KS"
"95",593,"300 E GRAHAM AVE","PRYOR","OK",74361,"300 E Graham Ave, Pryor, OK 74361","OK"
"96",595,"8535 HIGHWAY 22","DRESDEN","TN",38225,"8535 TN-22, Dresden, TN 38225","TN"
"97",597,"1805 COLUMBIA AVE","LANCASTER","PA",17603,"1805 Columbia Ave, Lancaster, PA 17603","PA"
"98",604,"108 W WASHINGTON ST","JAMESTOWN","OH",45335,"108 West Washington Street, Jamestown, OH 45335","OH"
"99",618,"27295 W WARREN ST","DEARBORN HEIGHTS","MI",48127,"27295 W Warren St, Dearborn Heights, MI 48127","MI"
"100",620,"260 LINCOLN WAY W","MC CONNELLSBURG","PA",17233,"260 Lincoln Way W, Mcconnellsburg, PA 17233","PA"
"101",623,"906 W 4TH ST","FORDYCE","AR",71742,"906 W 4th St, Fordyce, AR 71742","AR"
"102",630,"1293 MERCHANTS DR","DALLAS","GA",30132,"1293 Merchants Dr, Dallas, GA 30132","GA"
"103",634,"32 BELLVIEW ROAD","HENAGAR","AL",35978,"32 Bellview Rd, Henagar, AL 35978","AL"
"104",637,"31366 NE 1ST AVE","CARBON HILL","AL",35549,"31366 NE 1st Ave, Carbon Hill, AL 35549","AL"
"105",638,"1701 E JACKSON ST","HUGO","OK",74743,"1701 E Jackson St, Hugo, OK 74743","OK"
"106",644,"602 S COMMERCE ST","OVERTON","TX",75684,"602 S Commerce St, Overton, TX 75684","TX"
"107",654,"113 KEYSER AVE","NATCHITOCHES","LA",71457,"113 Keyser Ave, Natchitoches, LA 71457","LA"
"108",667,"420 E LEE ST","SARDIS","MS",38666,"420 E Lee St, Sardis, MS 38666","MS"
